"stripped_cell_line_name","cell_line_name","Sample Name","CCLE_Name","alias","DepMap_ID","COSMIC identifier","Sanger_Model_ID","master_ccl_id","sampleid","Cellosaurus.Accession.id","sex","age","ds_group","ds_type","ds_subtype","characteristics","primary_site","sample_site","metastatic","primary_or_metastasis","depmap_public_comments"
"MOLP2","MOLP-2",NA,"MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000453",NA,NA,695,"MOLP-2","CVCL_2123","Male",55,"Lymphoid","Plasma cell","Multiple myeloma",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"Primary",NA
"MOLP8","MOLP-8","MOLP-8","MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000745",1330950,"SIDM00434",696,"MOLP-8","CVCL_2124","Male",52,"Lymphoid","Plasma cell","Multiple myeloma",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"Primary",NA
"MOLT13","MOLT-13","MOLT-13","MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000795",908146,"SIDM00433",697,"MOLT-13","CVCL_1422","Female",2,"Lymphoid","T-cell leukemia","T-cell acute lymphoblastic leukemia (T-ALL)",NA,"haematopoietic_and_lymphoid_tissue","bone_marrow",NA,NA,NA
"MOLT14","MOLT-14",NA,"MOLT14_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-002551",NA,"SIDM00432",NA,NA,NA,"Unknown",NA,"Lymphoid","T-cell leukemia","T-cell acute lymphoblastic leukemia (T-ALL)",NA,NA,"bone_marrow",NA,NA,NA
"MOLT16","MOLT-16","MOLT-16","MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000918",908147,"SIDM00431",698,"MOLT-16","CVCL_1424","Female",5,"Lymphoid","T-cell leukemia","T-cell acute lymphoblastic leukemia (T-ALL)",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA,NA
"MOLT17","MOLT-17",NA,"MOLT17_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-002586",NA,"SIDM00430",NA,NA,NA,"Unknown",NA,"Lymphoid","T-cell leukemia","T-cell acute lymphoblastic leukemia (T-ALL)",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA
"MOLT3","MOLT-3",NA,"MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000964",NA,"SIDM00153",699,"MOLT-3","CVCL_0624","Male",19,"Lymphoid","T-cell leukemia","T-cell acute lymphoblastic leukemia (T-ALL)",NA,"","haematopoietic_and_lymphoid_tissue",NA,NA,NA
"MOLT4",NA,"MOLT-4","MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","MOLT-4","ACH-001127",905958,"SIDM00145",NA,NA,NA,"Male",19,"Lymphoid","T-cell leukemia","T-cell acute lymphoblastic leukemia (T-ALL)",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA
"MON","MON",NA,"MON_SOFT_TISSUE",NA,"ACH-001128",NA,NA,NA,NA,NA,"Male",NA,"Soft tissue","Rhabdoid","Malignant",NA,NA,"soft_tissue",NA,NA,NA
"MONOMAC1","MONO-MAC-1",NA,"MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-001129",NA,"SIDM01022",701,"Mono-Mac-1","CVCL_1425","Male",64,"Myeloid","Myeloid leukemia","Acute myeloid leukemia (AML)",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"Primary",NA
"MONOMAC6","MONO-MAC-6","MONO-MAC-6","MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000006",908148,"SIDM01023",702,"Mono-Mac-6","CVCL_1426","Male",64,"Myeloid","Myeloid leukemia","Acute myeloid leukemia (AML)","M5","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"Primary",NA
"MORCPR","MOR/CPR",NA,"MORCPR_LUNG",NA,"ACH-000851",NA,NA,703,"MOR/CPR","CVCL_2620","Unknown",NA,"Lung","Lung","Small cell (SCLC)",NA,"lung","lung",NA,"Primary",NA
"MOT","MOT",NA,"MOT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-002339",NA,"SIDM00623",NA,NA,NA,"Unknown",NA,"Lymphoid","B-cell leukemia","Hairy cell leukemia (HCL)",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA
"MOTN1","MOTN-1",NA,"MOTN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-001130",NA,NA,704,"MOTN-1","CVCL_2127","Female",65,"Lymphoid","T-cell leukemia","NOS",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA,NA
"MP38","MP38",NA,"MP38_UVEA",NA,"ACH-002009",NA,NA,NA,NA,NA,"Male",NA,"Eye","Eye","Uveal Melanoma",NA,NA,"uvea",NA,"Primary",NA
"MP41","MP41",NA,"MP41_UVEA",NA,"ACH-002010",NA,NA,NA,NA,NA,"Female",49,"Eye","Eye","Uveal Melanoma",NA,NA,"uvea",NA,"Primary",NA
"MP46","MP46",NA,"MP46_UVEA",NA,"ACH-002011",NA,NA,NA,NA,NA,"Male",69,"Eye","Eye","Uveal Melanoma",NA,NA,"uvea",NA,"Primary",NA
"MP65","MP65",NA,"MP65_UVEA",NA,"ACH-002012",NA,NA,NA,NA,NA,"Female",42,"Eye","Eye","Uveal Melanoma",NA,NA,"uvea",NA,"Primary",NA
"MPNST14","MPNST14",NA,"MPNST14_CENTRAL_NERVOUS_SYSTEM",NA,"ACH-001763",NA,NA,NA,NA,NA,"Male",NA,"Soft tissue","Sarcoma","NOS",NA,NA,"central_nervous_system",NA,NA,NA
"MPNST176","MPNST176",NA,"MPNST176_CENTRAL_NERVOUS_SYSTEM",NA,"ACH-001762",NA,NA,NA,NA,NA,"Unknown",NA,"Soft tissue","Sarcoma","NOS",NA,NA,"central_nervous_system",NA,NA,NA
"MPNST605","MPNST605",NA,"MPNST605_CENTRAL_NERVOUS_SYSTEM",NA,"ACH-001761",NA,NA,NA,NA,NA,"Unknown",NA,"Soft tissue","Sarcoma","NOS",NA,NA,"central_nervous_system",NA,NA,NA
"MPNST69","MPNST69",NA,"MPNST69_CENTRAL_NERVOUS_SYSTEM",NA,"ACH-001764",NA,NA,NA,NA,NA,"Unknown",NA,"Soft tissue","Sarcoma","NOS",NA,NA,"central_nervous_system",NA,NA,NA
"MPNST724","MPNST-724",NA,"MPNST724_SOFT_TISSUE","MPNST-724","ACH-002710",NA,NA,NA,NA,NA,"Unknown",NA,"Soft tissue","Sarcoma","NOS",NA,NA,"soft_tissue",NA,"Primary",NA
"MPP89","MPP 89","MPP-89","MPP89_PLEURA",NA,"ACH-000319",908150,"SIDM00222",705,"MPP 89","CVCL_1427","Male",67,"Lung","Lung","Mesothelioma",NA,"pleura","pleural_effusion",NA,NA,NA
"MRKNU1","MRK-nu-1","MRK-nu-1","MRKNU1_BREAST",NA,"ACH-002163",908151,"SIDM00562",NA,NA,NA,"Unknown",NA,"Breast","Breast","NOS",NA,NA,"breast",NA,NA,NA
"MS1","MS1",NA,"MS1_LUNG","MS-1-L, MS1,  Ms1","ACH-001958",NA,"SIDM00245",NA,NA,NA,"Unknown",NA,"Lung","Lung","Small cell (SCLC)",NA,NA,"lung",TRUE,"Metastasis",NA
"MS751","MS751","MS751","MS751_CERVIX",NA,"ACH-001360",1240179,"SIDM00638",NA,NA,NA,"Female",47,"Urogenital","Cervical","Squamous",NA,NA,"lymph_node",TRUE,"Metastasis",NA
"MSDASH1","MS-1","MS-1","MS1_SKIN","MS-1","ACH-001131",753594,"SIDM00408",NA,NA,NA,"Unknown",NA,"Skin","Skin carcinoma","Merkel cell",NA,NA,"autonomic_ganglia",TRUE,"Metastasis",NA
"MSKB9","MSK-B9",NA,"MSKB9_BONE",NA,"ACH-001434",NA,NA,NA,NA,NA,"Unknown",NA,"Bone","Bone","NOS",NA,NA,"bone",NA,NA,NA
"MSKST111","MSK-ST111",NA,NA,NA,"ACH-002878",NA,NA,NA,NA,NA,"Male",NA,"Urogenital","Prostate","NOS",NA,NA,"prostate",TRUE,"Metastasis",NA
"MSKST143","MSK-ST143",NA,NA,NA,"ACH-002879",NA,NA,NA,NA,NA,"Male",NA,"Urogenital","Prostate","NOS",NA,NA,"prostate",TRUE,"Metastasis",NA
"MSKST60","MSK-ST60",NA,NA,NA,"ACH-002877",NA,NA,NA,NA,NA,"Male",NA,"Urogenital","Prostate","NOS",NA,NA,"prostate",TRUE,"Metastasis",NA
"MSTO211H","MSTO-211H","MSTO-211H","MSTO211H_PLEURA",NA,"ACH-000335",908152,"SIDM00640",706,"MSTO-211H","CVCL_1430","Male",62,"Lung","Lung","Mesothelioma",NA,"pleura","pleural_effusion",TRUE,"Metastasis",NA
"MTA",NA,NA,"MTA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-001132",NA,NA,NA,NA,NA,"Female",NA,"Lymphoid","Lymphoma","T-cell lymphoma, NOS",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA
"MUGCC1","MUG-CC1",NA,"MUGCC1_SOFT_TISSUE",NA,"ACH-002488",NA,NA,NA,NA,NA,"Male",72,"Bone","Bone","Chordoma",NA,NA,"soft_tissue",NA,"Primary",NA
"MUGCHOR1","Mug-Chor-1",NA,"MUGCHOR1_BONE",NA,"ACH-001956",NA,NA,NA,NA,NA,"Female",57,"Bone","Bone","Chordoma",NA,NA,"bone",NA,NA,NA
"MUTZ1","MUTZ-1",NA,"MUTZ1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-002607",NA,"SIDM00656",NA,NA,NA,"Unknown",NA,"Lymphoid","Lymphoma","Burkitts",NA,NA,"Unknown",NA,NA,NA
"MUTZ2","MUTZ-2",NA,"MUTZ2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-001576",NA,NA,NA,NA,NA,"Male",62,"Myeloid","Myeloid leukemia","Acute myeloid leukemia (AML)",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,"Primary",NA
"MUTZ3",NA,NA,"MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","MUTZ3","ACH-000084",NA,NA,NA,NA,NA,"Male",29,"Myeloid","Myeloid leukemia","Acute myeloid leukemia (AML)",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA
"MUTZ5","MUTZ-5",NA,"MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000492",NA,NA,NA,NA,NA,"Male",26,"Lymphoid","B-cell leukemia","B-cell acute lymphoblastic leukemia (B-ALL)",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA
"MUTZ8","MUTZ-8",NA,"MUTZ8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-001577",NA,NA,NA,NA,NA,"Female",63,"Myeloid","Myeloid leukemia","Acute myeloid leukemia (AML)",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,"Primary",NA
"MV411","MV4;11","MV-4-11","MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","MV-4-11","ACH-000045",908156,"SIDM00657",710,"MV4-11","CVCL_0064","Male",10,"Myeloid","Myeloid leukemia","Acute myeloid leukemia (AML)",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"Primary",NA
"MV411CAS9","MV411 Cas9",NA,"MV411CAS9_ENGINEERED","MV411 Cas9","ACH-001288",NA,NA,NA,NA,NA,"Unknown",NA,"Engineered","Engineered","NOS",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA
"MX1","MX1",NA,"MX1_BREAST",NA,"ACH-002328",NA,NA,NA,NA,NA,"Unknown",NA,"Breast","Breast","NOS",NA,NA,"breast",NA,NA,NA
"MY","MY",NA,"MY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-002060",NA,"SIDM00563",NA,NA,NA,"Female",52,"Lymphoid","Biphenotypic leukemia","Acute biphenotypic leukemia",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,"Primary",NA
"MYLA","MYLA",NA,"MYLA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-001134",NA,NA,NA,NA,NA,"Unknown",NA,"Lymphoid","Lymphoma","T-cell lymphoma, NOS",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA
"MYM12","MY-M12","MY-M12","MYM12_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-002276",1330960,"SIDM01217",NA,NA,NA,"Unknown",NA,"Lymphoid","Biphenotypic leukemia","Acute biphenotypic leukemia",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA
"MZ1B","MZ1B",NA,"MZ1B_MATCHED_NORMAL_TISSUE",NA,"ACH-002360",NA,NA,NA,NA,NA,"Unknown",NA,"Non-cancerous","Non-cancerous","NOS",NA,NA,"matched_normal_tissue",NA,NA,NA
"MZ1PC","MZ1-PC","MZ1-PC","MZ1PC_PANCREAS",NA,"ACH-002164",753595,"SIDM00053",NA,NA,NA,"Unknown",NA,"Gastrointestinal","Pancreas","Ductal adenocarcinoma","Exocrine",NA,"pancreas",TRUE,"Metastasis",NA
"MZ2MEL","MZ2-MEL","MZ2-MEL","MZ2MEL_SKIN",NA,"ACH-002165",971777,"SIDM00179",NA,NA,NA,"Unknown",NA,"Skin","Melanoma","NOS",NA,NA,"skin",NA,NA,NA
"MZ7B","MZ7B",NA,"MZ7B_MATCHED_NORMAL_TISSUE",NA,"ACH-002361",NA,NA,NA,NA,NA,"Unknown",NA,"Non-cancerous","Non-cancerous","NOS",NA,NA,"matched_normal_tissue",NA,NA,NA
"MZ7MEL","MZ7-mel","MZ7-mel","MZ7MEL_SKIN",NA,"ACH-002166",753596,"SIDM00516",NA,NA,NA,"Unknown",NA,"Skin","Melanoma","NOS",NA,NA,"skin",TRUE,"Metastasis",NA
"MZMEL13","MZ-MEL-13",NA,"MZMEL13_SKIN",NA,"ACH-001907",NA,NA,NA,NA,NA,"Male",NA,"Skin","Melanoma","NOS",NA,NA,"skin",NA,NA,NA
"MZMEL3","MZ-MEL-3",NA,"MZMEL3_SKIN",NA,"ACH-001891",NA,NA,NA,NA,NA,"Unknown",NA,"Skin","Melanoma","NOS",NA,NA,"skin",NA,NA,NA
"MZMEL5","MZ-MEL-5",NA,"MZMEL5_SKIN",NA,"ACH-001906",NA,NA,NA,NA,NA,"Male",NA,"Skin","Melanoma","NOS",NA,NA,"skin",NA,NA,NA
"NALM1","NALM-1",NA,"NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000462",NA,NA,NA,NA,NA,"Female",3,"Myeloid","Myeloid leukemia","Chronic myeloid leukemia (CML)",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA
"NALM16","NALM-16",NA,"NALM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","NALM-16, Nalm-16","ACH-001993",NA,NA,NA,NA,NA,"Female",12,"Lymphoid","B-cell leukemia","B-cell acute lymphoblastic leukemia (B-ALL)",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA
"NALM19","NALM-19",NA,"NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000130",NA,NA,NA,NA,NA,"Male",26,"Lymphoid","B-cell leukemia","B-cell acute lymphoblastic leukemia (B-ALL)",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA
"NALM6","NALM-6","NALM-6","NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000938",908158,"SIDM00429",718,"NALM-6","CVCL_0092","Male",19,"Lymphoid","B-cell leukemia","B-cell acute lymphoblastic leukemia (B-ALL)",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"Primary",NA
"NAMALWA","NAMALWA","NAMALWA","NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000944",908159,"SIDM00641",719,"Namalwa","CVCL_0067","Female",3,"Lymphoid","Lymphoma","Burkitts","EBV-related","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA,NA
"NAMALWAPNT","NAMALWA-PNT",NA,"NAMALWAPNT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-002608",NA,"SIDM01227",NA,NA,NA,"Unknown",NA,"Lymphoid","Lymphoma","Burkitts",NA,NA,"Unknown",NA,NA,NA
"NB1","NB-1","NB1","NB1_AUTONOMIC_GANGLIA",NA,"ACH-000804",949179,"SIDM00578",720,"NB1","CVCL_1440","Male",2,"Other","Neuroendocrine","Neuroblastoma",NA,"autonomic_ganglia","lymph_node",TRUE,"Metastasis",NA
"NB10","NB10","NB10","NB10_AUTONOMIC_GANGLIA",NA,"ACH-002278",949171,"SIDM00259",NA,NA,NA,"Unknown",NA,"Other","Neuroendocrine","Neuroblastoma",NA,NA,"central_nervous_system",NA,NA,NA
"NB12","NB12","NB12","NB12_AUTONOMIC_GANGLIA",NA,"ACH-002279",949172,"SIDM00258",NA,NA,NA,"Unknown",NA,"Other","Neuroendocrine","Neuroblastoma",NA,NA,"central_nervous_system",TRUE,"Metastasis",NA
"NB13","NB13","NB13","NB13_AUTONOMIC_GANGLIA",NA,"ACH-002280",949177,"SIDM00257",NA,NA,NA,"Unknown",NA,"Other","Neuroendocrine","Neuroblastoma",NA,NA,"central_nervous_system",NA,NA,NA
"NB14","NB14","NB14","NB14_AUTONOMIC_GANGLIA",NA,"ACH-002281",949178,"SIDM00256",NA,NA,NA,"Unknown",NA,"Other","Neuroendocrine","Neuroblastoma",NA,NA,"central_nervous_system",NA,NA,NA
"NB16","NB16",NA,"NB16_AUTONOMIC_GANGLIA",NA,"ACH-002082",NA,NA,NA,NA,NA,"Female",3,"Other","Neuroendocrine","Neuroblastoma",NA,NA,"bone",TRUE,"Metastasis",NA
"NB1643","NB1643",NA,"NB1643_AUTONOMIC_GANGLIA",NA,"ACH-001303",NA,NA,NA,NA,NA,"Male",3,"Other","Neuroendocrine","Neuroblastoma",NA,NA,"abdomen",NA,NA,NA
"NB17","NB17","NB17","NB17_AUTONOMIC_GANGLIA",NA,"ACH-002282",949175,"SIDM00255",NA,NA,NA,"Unknown",NA,"Other","Neuroendocrine","Neuroblastoma",NA,NA,"central_nervous_system",NA,NA,NA
"NB4","NB-4","NB-4","NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000294",1323913,"SIDM00428",721,"NB4","CVCL_0005","Female",23,"Myeloid","Myeloid leukemia","Acute myeloid leukemia (AML)","M3","haematopoietic_and_lymphoid_tissue","bone_marrow",NA,"Primary",NA
"NB5","NB5","NB5","NB5_AUTONOMIC_GANGLIA",NA,"ACH-002283",949176,"SIDM00254",NA,NA,NA,"Unknown",NA,"Other","Neuroendocrine","Neuroblastoma",NA,NA,"central_nervous_system",TRUE,"Metastasis",NA
"NB6","NB6","NB6","NB6_AUTONOMIC_GANGLIA",NA,"ACH-002284",949173,"SIDM00253",NA,NA,NA,"Unknown",NA,"Other","Neuroendocrine","Neuroblastoma",NA,NA,"central_nervous_system",NA,NA,NA
"NB69","NB69",NA,"NB69_AUTONOMIC_GANGLIA",NA,"ACH-002083",NA,"SIDM00244",NA,NA,NA,"Male",1.5,"Other","Neuroendocrine","Neuroblastoma",NA,NA,"autonomic_ganglia",NA,"Primary",NA
"NB7","NB7","NB7","NB7_AUTONOMIC_GANGLIA",NA,"ACH-002285",949174,"SIDM00156",NA,NA,NA,"Unknown",NA,"Other","Neuroendocrine","Neuroblastoma",NA,NA,"central_nervous_system",NA,NA,NA
"NBLS","NBL-S",NA,"NBLS_AUTONOMIC_GANGLIA",NA,"ACH-001361",NA,NA,NA,NA,NA,"Male",3,"Other","Neuroendocrine","Neuroblastoma",NA,NA,"autonomic_ganglia",NA,"Primary",NA
"NBSUSSR","NBSUSSR",NA,"NBSUSSR_AUTONOMIC_GANGLIA",NA,"ACH-002340",NA,"SIDM00002",NA,NA,NA,"Unknown",NA,"Other","Neuroendocrine","Neuroblastoma",NA,NA,"autonomic_ganglia",NA,NA,NA
"NBTU110","NB(TU)1-10","NB(TU)1-10","NBTU110_AUTONOMIC_GANGLIA",NA,"ACH-002277",1240181,"SIDM00579",NA,NA,NA,"Unknown",NA,"Other","Neuroendocrine","Neuroblastoma",NA,NA,"abdomen",NA,NA,NA
"NC37","NC-37",NA,"NC37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-002568",NA,"SIDM01207",NA,NA,NA,"Unknown",NA,"Lymphoid","Lymphoma","Burkitts",NA,NA,"bone",NA,NA,NA
"NCC010","NCC010","NCC010","NCC010_KIDNEY",NA,"ACH-002167",1509073,"SIDM00231",NA,NA,NA,"Unknown",NA,"Kidney","Kidney","Renal cell",NA,NA,"kidney",NA,NA,NA
"NCC021","NCC021","NCC021","NCC021_KIDNEY",NA,"ACH-002168",1509074,"SIDM00232",NA,NA,NA,"Unknown",NA,"Kidney","Kidney","Renal cell",NA,NA,"kidney",NA,NA,NA
"NCCCCS1BC1","NCC-CCS1B-C1",NA,NA,NA,"ACH-002792",NA,NA,NA,NA,NA,"Female",43,"Soft tissue","Sarcoma","NOS",NA,NA,"Unknown",NA,"Unknown","Patient-derived model; Matches NCC-CCS1B-X2-C1 and NCC-CCS1-X4-C1"
"NCCCCS1BX2C1","NCC-CCS1B-X2-C1",NA,NA,NA,"ACH-002791",NA,NA,NA,NA,NA,"Female",43,"Soft tissue","Sarcoma","NOS",NA,NA,"Unknown",NA,"Unknown","Established from PDX; Matches NCC-CCS1B-C1 and NCC-CCS1-X4-C1"
"NCCCCS1X4C1","NCC-CCS1-X4-C1",NA,NA,NA,"ACH-002793",NA,NA,NA,NA,NA,"Female",43,"Soft tissue","Sarcoma","NOS",NA,NA,"Unknown",NA,"Unknown","Established from PDX; Matches NCC-CCS1B-X2-C1 and NCC-CCS1B-C1"
"NCCCDS1X1C1","NCC-CDS1-X1-C1",NA,NA,NA,"ACH-002795",NA,NA,NA,NA,NA,"Female",29,"Bone","Bone","Ewings",NA,NA,"soft_tissue",NA,"Primary","Established from PDX; Matches NCC-CDS1-X3-C1"
"NCCCDS1X3C1","NCC-CDS1-X3-C1",NA,NA,NA,"ACH-002796",NA,NA,NA,NA,NA,"Female",29,"Bone","Bone","Ewings",NA,NA,"soft_tissue",NA,"Primary","Established from PDX; Matches NCC-CDS1-X1-C1"
"NCCDCS1C1","NCC-dCS1-C1",NA,NA,NA,"ACH-002781",NA,NA,NA,NA,NA,"Female",65,"Bone","Bone","NOS",NA,NA,"Unknown",NA,"Primary","Patient-derived model"
"NCCDFSP1C1","NCC-DFSP1-C1",NA,NA,NA,"ACH-002797",NA,NA,NA,NA,NA,"Male",46,"Soft tissue","Sarcoma","NOS",NA,NA,"Unknown",NA,"Unknown","Patient-derived model"
"NCCDFSP2C1","NCC-DFSP2-C1",NA,NA,NA,"ACH-002798",NA,NA,NA,NA,NA,"Female",18,"Soft tissue","Sarcoma","NOS",NA,NA,"Unknown",NA,"Unknown","Patient-derived model"
"NCCES1C1","NCC-ES1-C1",NA,NA,NA,"ACH-002780",NA,NA,NA,NA,NA,"Male",31,"Bone","Bone","Ewings",NA,NA,"Unknown",NA,"Primary","Patient-derived model"
"NCCIT","NCCIT","NCCIT","NCCIT_TESTIS",NA,"ACH-001578",908441,"SIDM00655",NA,NA,NA,"Male",NA,"Urogenital","Testicular","NOS",NA,NA,"lung",NA,"Primary",NA
"NCCLMS1C1","NCC-LMS1-C1",NA,NA,NA,"ACH-002785",NA,NA,NA,NA,NA,"Female",42,"Soft tissue","Sarcoma","NOS",NA,NA,"bone",TRUE,"Metastasis","Patient-derived model; Matches NCC-LMS1-X3-C1"
"NCCLMS1X3C1","NCC-LMS1-X3-C1",NA,NA,NA,"ACH-002786",NA,NA,NA,NA,NA,"Female",42,"Soft tissue","Sarcoma","NOS",NA,NA,"bone",TRUE,"Metastasis","Established from PDX; Matches NCC-LMS1-C1"
"NCCMFS1C1","NCC-MFS1-C1",NA,NA,NA,"ACH-002794",NA,NA,NA,NA,NA,"Male",82,"Soft tissue","Sarcoma","NOS",NA,NA,"Unknown",NA,"Primary","Patient-derived model"
"NCCMPNST1C1","NCC-MPNST1-C1",NA,NA,NA,"ACH-002799",NA,NA,NA,NA,NA,"Unknown",NA,"Soft tissue","Sarcoma","NOS",NA,NA,"Unknown",NA,"Unknown","Patient-derived model"
"NCCMPNST2C1","NCC-MPNST2-C1",NA,NA,NA,"ACH-002800",NA,NA,NA,NA,NA,"Unknown",NA,"Soft tissue","Sarcoma","NOS",NA,NA,"Unknown",NA,"Unknown","Patient-derived model"
"NCCMPNST3C1","NCC-MPNST3-C1",NA,NA,NA,"ACH-002801",NA,NA,NA,NA,NA,"Unknown",NA,"Soft tissue","Sarcoma","NOS",NA,NA,"Unknown",NA,"Unknown","Patient-derived model"
"NCCMPNST3X2C1","NCC-MPNST3-X2-C1",NA,NA,NA,"ACH-002802",NA,NA,NA,NA,NA,"Unknown",NA,"Soft tissue","Sarcoma","NOS",NA,NA,"Unknown",NA,"Unknown","Established from PDX"
"NCCMPNST4C1","NCC-MPNST4-C1",NA,NA,NA,"ACH-002803",NA,NA,NA,NA,NA,"Unknown",NA,"Soft tissue","Sarcoma","NOS",NA,NA,"Unknown",NA,"Unknown","Patient-derived model"
"NCCMPNST5C1","NCC-MPNST5-C1",NA,NA,NA,"ACH-002804",NA,NA,NA,NA,NA,"Unknown",NA,"Soft tissue","Sarcoma","NOS",NA,NA,"Unknown",NA,"Unknown","Patient-derived model"
"NCCOS1X2C1","NCC-OS1-X2-C1",NA,NA,NA,"ACH-002778",NA,NA,NA,NA,NA,"Male",11,"Bone","Bone","Osteosarcoma",NA,NA,"Unknown",NA,"Unknown","Established from PDX"
"NCCOS2C1","NCC-OS2-C1",NA,NA,NA,"ACH-002779",NA,NA,NA,NA,NA,"Unknown",NA,"Bone","Bone","Osteosarcoma",NA,NA,"Unknown",NA,"Unknown","Patient-derived model"
"NCCOVCK119","NCC-OvC-K119",NA,"NCCOVCK119_OVARY",NA,"ACH-001579",NA,NA,NA,NA,NA,"Female",52,"Urogenital","Ovarian","NOS",NA,NA,"ovary",NA,"Primary",NA
"NCCPRMS1C1","NCC-pRMS1-C1",NA,NA,NA,"ACH-002787",NA,NA,NA,NA,NA,"Male",73,"Soft tissue","Sarcoma","NOS",NA,NA,"soft_tissue",NA,"Primary","Patient-derived model; Matches NCC-pRMS1-X4-C1"
"NCCPRMS1X4C1","NCC-pRMS1-X4-C1",NA,NA,NA,"ACH-002788",NA,NA,NA,NA,NA,"Male",73,"Soft tissue","Sarcoma","NOS",NA,NA,"soft_tissue",NA,"Primary","Established from PDX; Matches NCC-pRMS1-C1"
"NCCRBC39","NCC-RbC-39",NA,"NCCRBC39_AUTONOMIC_GANGLIA",NA,"ACH-001580",NA,NA,NA,NA,NA,"Male",3,"Eye","Eye","Retinoblastoma",NA,NA,"autonomic_ganglia",TRUE,"Metastasis",NA
"NCCRBC51","NCC-RbC-51",NA,"NCCRBC51_AUTONOMIC_GANGLIA",NA,"ACH-001581",NA,NA,NA,NA,NA,"Male",5,"Eye","Eye","Retinoblastoma",NA,NA,"autonomic_ganglia",TRUE,"Metastasis",NA
